"March 15, 2023 at 09:35AM",82.2,55,29.7,2747
"March 15, 2023 at 09:40AM",82.3,60,29.6,3130
"March 15, 2023 at 09:35AM",82.4,58,29.7,3935
"March 15, 2023 at 09:35AM",82.5,57,29.7,3451
"March 15, 2023 at 09:35AM",82.4,56,29.8,2161
"March 15, 2023 at 09:35AM",82.4,55,29.8,3947
"March 15, 2023 at 09:35AM",82.2,54,29.7,3682
"March 15, 2023 at 09:40AM",82.4,53,29.8,3066
"March 15, 2023 at 09:45AM",82.5,55,30,2050
"March 15, 2023 at 09:50AM",82.2,55,29.9,3452
"March 15, 2023 at 09:55AM",82.6,57,29.8,3048
"March 15, 2023 at 10:00AM",82.8,58,29.7,3293
"March 15, 2023 at 10:05AM",82.6,56,29.6,2342
"March 15, 2023 at 10:10AM",83,55,29.6,2658
"March 15, 2023 at 10:15AM",83.3,54,29.8,2164
"March 15, 2023 at 10:20AM",83.1,53,29.8,3358
"March 15, 2023 at 10:25AM",83,53,29.7,3558
"March 15, 2023 at 10:30AM",82.9,54,29.7,3024
"March 15, 2023 at 10:35AM",82.8,55,29.8,3595
"March 15, 2023 at 10:40AM",82.8,54,29.9,2795
"March 15, 2023 at 10:45AM",82.9,54,30,3570
"March 15, 2023 at 10:50AM",83,53,30.1,3574
"March 15, 2023 at 11:00AM",83.2,53,30,2256
"March 15, 2023 at 11:05AM",83.2,52,30.1,2829
"March 15, 2023 at 11:10AM",82.2,52,30.1,3166
"March 17, 2023 at 01:30PM",87.7,55,31,3222
"March 17, 2023 at 01:35PM",84.4,51,31.1,3202
"March 17, 2023 at 01:40PM",80.5,51,31.1,2026
"March 17, 2023 at 01:45PM",81.5,68,31,3348
"March 17, 2023 at 01:50PM",80.6,52,30.9,3875
"March 17, 2023 at 01:55PM",80.8,68,30.8,2172
"March 17, 2023 at 02:00PM",80.8,53,30.7,2342
"March 17, 2023 at 02:05PM",81,69,30.7,3056
"March 17, 2023 at 02:10PM",81.2,55,30.6,2456
"March 17, 2023 at 02:15PM",81.6,64,30.8,3403
"March 17, 2023 at 02:20PM",80.5,55,30.7,3390
"March 17, 2023 at 02:25PM",80.5,64,30.6,3837
"March 17, 2023 at 02:30PM",80.7,63,30.7,3188
"March 17, 2023 at 02:35PM",80.8,66,30.8,3753
"March 17, 2023 at 02:40PM",81,62,30.9,3881
"March 17, 2023 at 02:45PM",81.2,59,30.8,3872
"March 17, 2023 at 02:50PM",81.3,64,30.8,3147
"March 17, 2023 at 02:55PM",81.4,59,30.8,3941
"March 17, 2023 at 03:00PM",81.4,57,30.7,3994
"March 17, 2023 at 03:05PM",81.3,59,30.9,3726
"March 17, 2023 at 03:10PM",81.2,59,30.7,2421
"March 17, 2023 at 03:15PM",81.3,66,30.8,2349
"March 17, 2023 at 03:20PM",81.4,70,30.9,2711
"March 17, 2023 at 03:25PM",81.3,56,31,2220
"March 17, 2023 at 03:30PM",81,61,30.8,3049
"March 22, 2023 at 09:00AM",82.2,54,28.1,2722
"March 22, 2023 at 09:05AM",82.4,59,28.2,2037
"March 22, 2023 at 09:10AM",82.6,54,28.1,2868
"March 22, 2023 at 09:15AM",82.7,52,28.3,2285
"March 22, 2023 at 09:20AM",82.5,70,28.4,3880
"March 22, 2023 at 09:25AM",82.4,63,28.7,3482
"March 22, 2023 at 09:30AM",82.5,65,28.4,3508
"March 22, 2023 at 09:40AM",82.6,68,28.5,3761
"March 22, 2023 at 09:45AM",82.7,52,28.6,3555
"March 22, 2023 at 09:50AM",82.8,60,28.7,3154
"March 22, 2023 at 09:55AM",82.8,50,28.6,3931
"March 22, 2023 at 10:00AM",82.9,67,28.6,2605
"March 22, 2023 at 10:05AM",82.7,50,28.5,3404
"March 22, 2023 at 10:10AM",83,66,28.8,2419
"March 22, 2023 at 10:15AM",83,50,28.9,2593
"March 22, 2023 at 10:20AM",83.1,69,29,3715
"March 22, 2023 at 10:25AM",82.8,68,29.1,2297
"March 22, 2023 at 10:30AM",82.8,52,29,3155
"March 22, 2023 at 10:35AM",82.2,56,28.8,3821
"March 22, 2023 at 10:40AM",82.2,60,28.7,3971
"March 22, 2023 at 10:45AM",82.2,61,28.6,2132
"March 22, 2023 at 10:50AM",82.4,52,28.6,2363
"March 22, 2023 at 10:55AM",82.4,55,28.8,3304
"March 22, 2023 at 11:00AM",82.3,55,28.7,3502
"March 22, 2023 at 09:35AM",82.3,64,28.7,2000
"March 24, 2023 at 09:35AM",91,87,28.6,2000
"March 24, 2023 at 09:37AM",92.1,87,31,2120
"March 24, 2023 at 09:42AM",91.2,86,30.1,2013
"March 24, 2023 at 09:47AM",93.3,86,29.7,2005
"March 24, 2023 at 09:52AM",92.1,87,29,2201
"March 24, 2023 at 09:57AM",92.2,87,28.4,1942
"March 24, 2023 at 10:02AM",90,84,28.6,1976
"March 24, 2023 at 10:07AM",91.3,87,28.9,1920
"March 24, 2023 at 10:12AM",89.3,88,31,2175
"March 24, 2023 at 10:17AM",88.3,84,31.4,2301
"March 24, 2023 at 10:22AM",91.2,86,32.2,1996
"March 24, 2023 at 10:27AM",91,84,34.3,2192
"March 24, 2023 at 10:32AM",92.3,86,33.1,1810
"March 24, 2023 at 10:37AM",93.4,86,30.1,1919
"March 24, 2023 at 10:42AM",92.1,85,32.2,1913
"March 24, 2023 at 10:47AM",93.2,87,31.3,1931
"March 24, 2023 at 10:52AM",92,86,31.7,1830
"March 24, 2023 at 10:57AM",92.3,86,31.8,1852
"March 24, 2023 at 11:02AM",92.8,87,31.7,1991
"March 24, 2023 at 11:07AM",92.7,86,31.4,2197
"March 24, 2023 at 11:12AM",92.5,85,31.5,1946
"March 24, 2023 at 11:17AM",92,86,31.6,1824
"March 24, 2023 at 11:22AM",93.1,87,31,1845
"March 24, 2023 at 11:27AM",93,86,30.9,2199
"March 24, 2023 at 11:32AM",73.2,86,30.4,2319
"April 5, 2023 at 09:11AM",74.1,55,30.8,2232
"April 5, 2023 at 09:16AM",73,53,31.2,2468
"April 5, 2023 at 09:21AM",76,54,32.4,2474
"April 5, 2023 at 09:26AM",77,53,33,2333
"April 5, 2023 at 09:31AM",77.1,56,33.1,2356
"April 5, 2023 at 09:36AM",76.9,53,33.4,2692
"April 5, 2023 at 09:41AM",75.4,56,34.2,2680
"April 5, 2023 at 09:46AM",74.6,56,34.6,2375
"April 5, 2023 at 09:51AM",74.7,55,34,2604
"April 5, 2023 at 09:56AM",76.4,55,33.8,2687
